inventory_id,product_id,store_id,stock_quantity,snapshot_date
INV-0000001,PRD-00012,STR-0001,135,2024-01-01
INV-0000002,PRD-00031,STR-0001,40,2024-01-01
INV-0000003,PRD-00022,STR-0001,14,2024-01-01
INV-0000004,PRD-00053,STR-0001,245,2024-01-01
INV-0000005,PRD-00063,STR-0001,130,2024-01-01
INV-0000006,PRD-00067,STR-0001,20,2024-01-01
INV-0000007,PRD-00014,STR-0001,217,2024-01-01
INV-0000008,PRD-00056,STR-0001,47,2024-01-01
INV-0000009,PRD-00026,STR-0001,17,2024-01-01
INV-0000010,PRD-00058,STR-0001,152,2024-01-01
INV-0000011,PRD-00004,STR-0001,17,2024-01-01
INV-0000012,PRD-00011,STR-0001,172,2024-01-01
INV-0000013,PRD-00025,STR-0001,220,2024-01-01
INV-0000014,PRD-00001,STR-0001,60,2024-01-01
INV-0000015,PRD-00061,STR-0001,103,2024-01-01
INV-0000016,PRD-00017,STR-0001,30,2024-01-01
INV-0000017,PRD-00051,STR-0001,241,2024-01-01
INV-0000018,PRD-00052,STR-0001,227,2024-01-01
INV-0000019,PRD-00030,STR-0001,145,2024-01-01
INV-0000020,PRD-00019,STR-0001,63,2024-01-01
INV-0000021,PRD-00028,STR-0001,148,2024-01-01
INV-0000022,PRD-00045,STR-0001,152,2024-01-01
INV-0000023,PRD-00036,STR-0001,10,2024-01-01
INV-0000024,PRD-00043,STR-0001,158,2024-01-01
INV-0000025,PRD-00032,STR-0001,20,2024-01-01
INV-0000026,PRD-00010,STR-0001,107,2024-01-01
INV-0000027,PRD-00013,STR-0001,168,2024-01-01
INV-0000028,PRD-00049,STR-0001,149,2024-01-01
INV-0000029,PRD-00062,STR-0001,144,2024-01-01
INV-0000030,PRD-00059,STR-0001,133,2024-01-01
INV-0000031,PRD-00038,STR-0001,80,2024-01-01
INV-0000032,PRD-00035,STR-0001,239,2024-01-01
INV-0000033,PRD-00039,STR-0001,66,2024-01-01
INV-0000034,PRD-00021,STR-0001,52,2024-01-01
INV-0000035,PRD-00046,STR-0001,171,2024-01-01
INV-0000036,PRD-00034,STR-0001,183,2024-01-01
INV-0000037,PRD-00064,STR-0001,80,2024-01-01
INV-0000038,PRD-00065,STR-0001,61,2024-01-01
INV-0000039,PRD-00050,STR-0001,67,2024-01-01
INV-0000040,PRD-00048,STR-0001,101,2024-01-01
INV-0000041,PRD-00017,STR-0002,53,2024-01-01
INV-0000042,PRD-00039,STR-0002,183,2024-01-01
INV-0000043,PRD-00059,STR-0002,87,2024-01-01
INV-0000044,PRD-00041,STR-0002,52,2024-01-01
INV-0000045,PRD-00010,STR-0002,175,2024-01-01
INV-0000046,PRD-00001,STR-0002,162,2024-01-01
INV-0000047,PRD-00030,STR-0002,218,2024-01-01
INV-0000048,PRD-00040,STR-0002,67,2024-01-01
INV-0000049,PRD-00037,STR-0002,129,2024-01-01
INV-0000050,PRD-00007,STR-0002,125,2024-01-01
INV-0000051,PRD-00005,STR-0002,64,2024-01-01
INV-0000052,PRD-00035,STR-0002,231,2024-01-01
INV-0000053,PRD-00014,STR-0002,232,2024-01-01
INV-0000054,PRD-00033,STR-0002,216,2024-01-01
INV-0000055,PRD-00068,STR-0002,13,2024-01-01
INV-0000056,PRD-00009,STR-0002,23,2024-01-01
INV-0000057,PRD-00023,STR-0002,162,2024-01-01
INV-0000058,PRD-00058,STR-0002,108,2024-01-01
INV-0000059,PRD-00016,STR-0002,212,2024-01-01
INV-0000060,PRD-00024,STR-0002,70,2024-01-01
INV-0000061,PRD-00019,STR-0002,11,2024-01-01
INV-0000062,PRD-00011,STR-0002,0,2024-01-01
INV-0000063,PRD-00029,STR-0002,85,2024-01-01
INV-0000064,PRD-00057,STR-0002,197,2024-01-01
INV-0000065,PRD-00020,STR-0002,33,2024-01-01
INV-0000066,PRD-00061,STR-0002,163,2024-01-01
