order_id,product_id,store_id,order_date,quantity,total_amount,order_status
ORD-00000001,PRD-00013,STR-0005,2024-01-01,2,1622.8,Returned
ORD-00000002,PRD-00064,STR-0014,2024-01-01,3,828.99,Completed
ORD-00000003,PRD-00059,STR-0008,2024-01-01,5,1999.05,Cancelled
ORD-00000004,PRD-00059,STR-0002,2024-01-01,1,399.81,Completed
ORD-00000005,PRD-00048,STR-0002,2024-01-01,2,36.78,Cancelled
ORD-00000006,PRD-00013,STR-0013,2024-01-01,5,4057.0,Returned
ORD-00000007,PRD-00011,STR-0011,2024-01-01,3,1482.24,Completed
ORD-00000008,PRD-00052,STR-0001,2024-01-01,2,14.56,Returned
ORD-00000009,PRD-00033,STR-0003,2024-01-01,4,1527.92,Completed
ORD-00000010,PRD-00025,STR-0009,2024-01-01,3,244.83,Cancelled
ORD-00000011,PRD-00066,STR-0008,2024-01-01,1,273.11,Completed
ORD-00000012,PRD-00061,STR-0007,2024-01-01,4,1633.0,Completed
ORD-00000013,PRD-00024,STR-0009,2024-01-01,5,344.55,Returned
ORD-00000014,PRD-00006,STR-0013,2024-01-01,2,2313.6,Returned
ORD-00000015,PRD-00037,STR-0009,2024-01-01,1,87.57,Completed
ORD-00000016,PRD-00027,STR-0001,2024-01-01,4,487.68,Returned
ORD-00000017,PRD-00017,STR-0009,2024-01-01,3,137.73,Completed
ORD-00000018,PRD-00041,STR-0004,2024-01-01,2,206.76,Completed
ORD-00000019,PRD-00003,STR-0011,2024-01-01,2,761.28,Completed
ORD-00000020,PRD-00037,STR-0015,2024-01-01,5,437.85,Completed
ORD-00000021,PRD-00043,STR-0013,2024-01-01,4,97.92,Cancelled
ORD-00000022,PRD-00002,STR-0011,2024-01-01,3,1496.13,Completed
ORD-00000023,PRD-00045,STR-0015,2024-01-01,2,16.18,Completed
ORD-00000024,PRD-00064,STR-0007,2024-01-01,5,1381.65,Returned
ORD-00000025,PRD-00022,STR-0013,2024-01-01,3,346.68,Completed
ORD-00000026,PRD-00005,STR-0003,2024-01-01,4,2960.16,Cancelled
ORD-00000027,PRD-00045,STR-0003,2024-01-01,2,16.18,Returned
ORD-00000028,PRD-00068,STR-0012,2024-01-01,3,1511.22,Completed
ORD-00000029,PRD-00041,STR-0015,2024-01-01,4,413.52,Completed
ORD-00000030,PRD-00020,STR-0006,2024-01-01,5,218.45,Completed
ORD-00000031,PRD-00056,STR-0014,2024-01-01,1,138.75,Completed
ORD-00000032,PRD-00063,STR-0008,2024-01-01,4,635.8,Cancelled
ORD-00000033,PRD-00049,STR-0004,2024-01-02,1,12.07,Completed
ORD-00000034,PRD-00028,STR-0007,2024-01-02,1,160.05,Cancelled
ORD-00000035,PRD-00038,STR-0006,2024-01-02,2,440.7,Returned
ORD-00000036,PRD-00052,STR-0014,2024-01-02,3,21.84,Completed
ORD-00000037,PRD-00054,STR-0009,2024-01-02,3,10.62,Completed
ORD-00000038,PRD-00014,STR-0011,2024-01-02,5,4807.0,Cancelled
ORD-00000039,PRD-00051,STR-0008,2024-01-02,4,39.08,Completed
ORD-00000040,PRD-00060,STR-0010,2024-01-02,4,1017.24,Completed
ORD-00000041,PRD-00023,STR-0013,2024-01-02,3,347.52,Completed
ORD-00000042,PRD-00043,STR-0015,2024-01-02,2,48.96,Returned
ORD-00000043,PRD-00013,STR-0013,2024-01-02,5,4057.0,Returned
ORD-00000044,PRD-00054,STR-0014,2024-01-02,4,14.16,Completed
ORD-00000045,PRD-00004,STR-0008,2024-01-02,2,1440.56,Cancelled
ORD-00000046,PRD-00065,STR-0003,2024-01-02,5,1422.75,Cancelled
ORD-00000047,PRD-00053,STR-0001,2024-01-02,3,54.81,Cancelled
ORD-00000048,PRD-00032,STR-0006,2024-01-02,5,897.75,Returned
ORD-00000049,PRD-00061,STR-0003,2024-01-02,3,1224.75,Completed
ORD-00000050,PRD-00050,STR-0017,2024-01-02,2,9.54,Completed
ORD-00000051,PRD-00059,STR-0012,2024-01-02,2,799.62,Completed
ORD-00000052,PRD-00061,STR-0007,2024-01-02,3,1224.75,Completed
ORD-00000053,PRD-00038,STR-0003,2024-01-02,1,220.35,Completed
ORD-00000054,PRD-00060,STR-0015,2024-01-02,2,508.62,Returned
ORD-00000055,PRD-00057,STR-0008,2024-01-02,2,702.46,Completed
ORD-00000056,PRD-00065,STR-0004,2024-01-02,5,1422.75,Completed
ORD-00000057,PRD-00021,STR-0008,2024-01-02,4,137.12,Returned
ORD-00000058,PRD-00009,STR-0001,2024-01-02,1,1133.09,Returned
ORD-00000059,PRD-00053,STR-0017,2024-01-02,4,73.08,Completed
ORD-00000060,PRD-00010,STR-0014,2024-01-02,3,1850.25,Returned
ORD-00000061,PRD-00016,STR-0001,2024-01-02,4,178.56,Completed
ORD-00000062,PRD-00008,STR-0010,2024-01-02,4,4065.32,Returned
ORD-00000063,PRD-00006,STR-0012,2024-01-02,4,4627.2,Returned
ORD-00000064,PRD-00066,STR-0015,2024-01-02,4,1092.44,Completed
ORD-00000065,PRD-00014,STR-0005,2024-01-02,3,2884.2,Cancelled
ORD-00000066,PRD-00015,STR-0006,2024-01-02,3,154.29,Completed
ORD-00000067,PRD-00044,STR-0005,2024-01-02,2,9.88,Completed
ORD-00000068,PRD-00027,STR-0009,2024-01-02,1,121.92,Completed
ORD-00000069,PRD-00010,STR-0015,2024-01-02,4,2467.0,Completed
ORD-00000070,PRD-00034,STR-0011,2024-01-02,3,1167.09,Returned
ORD-00000071,PRD-00057,STR-0011,2024-01-02,4,1404.92,Returned
ORD-00000072,PRD-00034,STR-0009,2024-01-02,5,1945.15,Completed
ORD-00000073,PRD-00018,STR-0005,2024-01-02,5,345.75,Completed
ORD-00000074,PRD-00004,STR-0008,2024-01-02,3,2160.84,Cancelled
ORD-00000075,PRD-00047,STR-0010,2024-01-02,3,58.08,Returned
